"STATE","RELIG","POPWGHT"
"IA","19",0.224851851851852
"IA","20",0.063888888888889
"IA","21",0.114888888888889
"IA","22",0.034925925925926
"IA","25",0.046962962962963
"IA","28",0.019962962962963
"IA","30",0.032925925925926
"IA","31",0.129851851851852
"IA","36",0.191888888888889
"IA","40",0.060962962962963
"IA","42",0.016962962962963
"IA","60",0.0978518518518519
"IA","62",0.252962962962963
"IA","64",0.112962962962963
"IA","73",0.026962962962963
"IA","79",0.406740740740741
"IA","90",0.040925925925926
"IA","91",0.047925925925926
"IA","95",3.11555555555556
"IA","98",0.102888888888889
"IA","99",1.035
"ID","1",0.923592592592594
"ID","2",0.289518518518519
"ID","6",0.150925925925926
"ID","8",0.550814814814815
"ID","9",0.0428148148148149
"ID","12",0.068925925925926
"ID","14",0.329592592592593
"ID","17",1.45648148148148
"ID","18",0.110777777777778
"ID","19",0.0318888888888889
"ID","20",0.065851851851852
"ID","21",1.96555555555556
"ID","22",0.022925925925926
"ID","23",0.113851851851852
"ID","24",0.056925925925926
"ID","28",0.015962962962963
"ID","35",0.044962962962963
"ID","36",0.123814814814815
"ID","40",0.00896296296296296
"ID","60",0.013962962962963
"ID","63",0.00896296296296296
"ID","67",0.062962962962963
"ID","74",0.00696296296296296
"ID","78",0.097925925925926
"ID","79",0.080888888888889
"ID","90",0.431
"ID","91",0.035962962962963
"ID","95",1.65296296296296
"ID","98",0.199925925925926
"ID","99",0.340481481481482
"IL","1",23.6945185185185
"IL","2",6.02322222222223
"IL","3",0.047962962962963
"IL","4",0.083962962962963
"IL","5",0.116925925925926
"IL","6",0.765703703703704
"IL","8",4.03903703703704
"IL","9",1.67466666666667
"IL","10",0.062962962962963
"IL","11",0.053962962962963
"IL","12",0.670222222222223
"IL","14",3.42407407407408
"IL","16",0.100888888888889
"IL","17",11.7312222222222
"IL","18",0.537148148148149
"IL","19",1.32707407407407
"IL","20",0.166666666666667
"IL","21",0.281851851851852
"IL","22",0.185777777777778
"IL","23",0.640740740740741
"IL","24",0.092888888888889
"IL","25",0.013962962962963
"IL","27",0.038888888888889
"IL","29",0.083
"IL","30",0.468777777777778
"IL","31",0.270777777777778
"IL","32",0.048925925925926
"IL","33",0.079925925925926
"IL","34",0.015962962962963
"IL","35",0.067888888888889
"IL","36",1.30825925925926
"IL","39",0.117925925925926
"IL","40",0.014962962962963
"IL","60",0.969111111111112
"IL","61",0.822740740740741
"IL","62",0.161814814814815
"IL","63",0.086851851851852
"IL","64",0.286851851851852
"IL","67",0.040925925925926
"IL","74",0.028962962962963
"IL","77",0.00896296296296296
"IL","78",0.122888888888889
"IL","79",0.308703703703704
"IL","90",0.611481481481482
"IL","91",0.456740740740741
"IL","92",0.05
"IL","93",0.015962962962963
"IL","95",9.09407407407408
"IL","98",0.810407407407408
"IL","99",3.89459259259259
"IN","1",10.8779259259259
"IN","2",5.20962962962963
"IN","3",0.132851851851852
"IN","4",0.013962962962963
"IN","5",0.195962962962963
"IN","6",0.325740740740741
"IN","8",4.93292592592593
"IN","9",1.48351851851852
"IN","11",0.023962962962963
"IN","12",0.89125925925926
"IN","14",1.41666666666667
"IN","15",0.067
"IN","17",15.0762222222222
"IN","18",0.446444444444445
"IN","19",1.39107407407408
"IN","20",0.120814814814815
"IN","21",0.210888888888889
"IN","22",0.220740740740741
"IN","23",0.336666666666667
"IN","24",0.169851851851852
"IN","25",0.044962962962963
"IN","28",0.083962962962963
"IN","29",0.053962962962963
"IN","30",0.106814814814815
"IN","31",0.054888888888889
"IN","32",0.154851851851852
"IN","33",0.014962962962963
"IN","34",0.044925925925926
"IN","36",1.06933333333333
"IN","37",0.00796296296296296
"IN","39",0.302888888888889
"IN","40",0.042
"IN","60",0.156777777777778
"IN","61",0.039925925925926
"IN","62",0.043925925925926
"IN","63",0.142888888888889
"IN","64",0.112962962962963
"IN","66",0.04
"IN","68",0.025962962962963
"IN","70",0.061962962962963
"IN","73",0.293962962962963
"IN","77",0.152
"IN","78",0.111888888888889
"IN","79",0.57762962962963
"IN","90",0.329777777777778
"IN","91",0.117851851851852
"IN","95",8.20470370370371
"IN","98",0.80962962962963
"IN","99",1.65337037037037
"KS","1",4.22803703703704
"KS","2",2.21281481481482
"KS","3",0.010962962962963
"KS","5",0.042
"KS","6",0.137851851851852
"KS","8",1.59496296296296
"KS","9",0.804777777777779
"KS","12",0.389481481481482
"KS","14",0.561962962962964
"KS","15",0.00996296296296296
"KS","17",4.981
"KS","18",0.239555555555556
"KS","19",0.080851851851852
"KS","20",0.171962962962963
"KS","21",0.256777777777778
"KS","22",0.124888888888889
"KS","23",0.019962962962963
"KS","25",0.019962962962963
"KS","27",0.024962962962963
"KS","31",0.107888888888889
"KS","32",0.093814814814815
"KS","35",0.099
"KS","36",0.450592592592593
"KS","60",0.090814814814815
"KS","61",0.093962962962963
"KS","62",0.258962962962963
"KS","63",0.050888888888889
"KS","64",0.00996296296296296
"KS","78",0.04
"KS","79",0.059962962962963
"KS","90",0.073925925925926
"KS","91",0.066962962962963
"KS","95",2.05022222222222
"KS","98",0.510777777777778
"KS","99",0.549111111111112
"KY","1",4.92648148148149
"KY","2",8.9692962962963
"KY","3",0.324
"KY","4",0.096814814814815
"KY","5",0.065962962962963
"KY","6",0.451555555555556
"KY","7",0.00996296296296296
"KY","8",1.89648148148148
"KY","9",0.409222222222223
"KY","11",0.023962962962963
"KY","12",0.24262962962963
"KY","14",0.284740740740741
"KY","17",7.20874074074074
"KY","18",0.270555555555556
"KY","19",1.0272962962963
"KY","20",0.300740740740741
"KY","21",0.427777777777778
"KY","22",0.198666666666667
"KY","23",0.095925925925926
"KY","24",0.241962962962963
"KY","26",0.115962962962963
"KY","28",0.061925925925926
"KY","29",0.141851851851852
"KY","31",0.041925925925926
"KY","32",0.020962962962963
"KY","36",0.277592592592593
"KY","39",0.086925925925926
"KY","60",0.122888888888889
"KY","61",0.022962962962963
"KY","63",0.038925925925926
"KY","64",0.077925925925926
"KY","65",0.018962962962963
"KY","79",0.373777777777778
"KY","90",0.460851851851852
"KY","91",0.038925925925926
"KY","92",0.052962962962963
"KY","95",4.07233333333334
"KY","98",0.441703703703704
"KY","99",1.35285185185185
"LA","1",10.9215925925926
"LA","2",10.9100740740741
"LA","3",0.180925925925926
"LA","5",0.269888888888889
"LA","6",0.38062962962963
"LA","8",0.929185185185186
"LA","9",0.869148148148149
"LA","12",0.222777777777778
"LA","13",0.021962962962963
"LA","14",0.205814814814815
"LA","15",0.00896296296296296
"LA","17",3.60714814814815
"LA","18",0.28562962962963
"LA","19",0.92062962962963
"LA","20",0.155777777777778
"LA","21",0.037925925925926
"LA","22",0.170814814814815
"LA","23",0.190888888888889
"LA","25",0.00896296296296296
"LA","26",0.084925925925926
"LA","27",0.041
"LA","31",0.027962962962963
"LA","32",0.1
"LA","36",0.872703703703704
"LA","60",0.054888888888889
"LA","63",0.068925925925926
"LA","64",0.041
"LA","67",0.051962962962963
"LA","77",0.122
"LA","79",0.201925925925926
"LA","90",0.342925925925926
"LA","91",0.383851851851852
"LA","95",2.19303703703704
"LA","98",0.039925925925926
"LA","99",1.21055555555556
"MA","1",18.5260740740741
"MA","2",0.830481481481482
"MA","5",0.237
"MA","6",0.030962962962963
"MA","8",4.19522222222223
"MA","9",0.286666666666667
"MA","12",0.092925925925926
